country,date,confirmed,deaths,recovered
Syria,2020-4-3,16,2,0
Timor-Leste,2020-4-3,1,0,0
Belize,2020-4-3,4,0,0
Laos,2020-4-3,10,0,0
Libya,2020-4-3,11,1,0
West Bank and Gaza,2020-4-3,194,1,21
Guinea-Bissau,2020-4-3,15,0,0
Mali,2020-4-3,39,3,0
Saint Kitts and Nevis,2020-4-3,9,0,0
Kosovo,2020-4-3,126,1,10
Burma,2020-4-3,20,1,0
MS Zaandam,2020-4-3,9,2,0
Botswana,2020-4-3,4,1,0
Burundi,2020-4-3,3,0,0
Sierra Leone,2020-4-3,2,0,0
Malawi,2020-4-3,3,0,0
South Sudan,2020-4-3,0,0,0
Western Sahara,2020-4-3,0,0,0
Sao Tome and Principe,2020-4-3,0,0,0
Yemen,2020-4-3,0,0,0
Comoros,2020-4-3,0,0,0
Tajikistan,2020-4-3,0,0,0
